星期节次,一,二,三,四,五,六,日

1,英美文化邹甜甜/西-5142 - 5，7 - 9，11 - 13，15 - 18,,,,信号检测与估值理论李颖/J-2082，4，6，8，10，12，14，16,,
2,,,,,
3,自然辩证法概论朱丹琼/J-2052 - 5，7 - 9，11 - 12,,信号检测与估值理论李颖/J-2082 - 17,,,,
4,,,,,
5,,,体育白光斌/体育馆2 - 11,,,,
6,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,科学精神与方法专题讲座梁昌洪/图书馆报告厅（3楼）3 - 13,,,
10,,,,,,
11,,,,,,
