
"
				
				
					系统消息
				
			","
				2017-01-22 18:30:53
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 知识产权与专利申请 考试成绩为 78.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-18 09:20:37
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 算法设计技术与方法 考试成绩为 90.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:51:07
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 扩频通信系统 考试成绩为 75.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:51:06
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 图像工程 考试成绩为 87.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:51:06
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 宽带无线通信 考试成绩为 79.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:50:45
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 工程优化方法及应用 考试成绩为 66.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:49:11
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 中国特色社会主义理论与实践 考试成绩为 88.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:49:06
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 体育 考试成绩为 93.00
			","
"
"
				
				
					系统消息
				
			","
				2017-01-16 09:48:55
			","


设为已读
","

成绩提示
",,"
			
				　　【成绩提示】 你 英语听说 考试成绩为 64.00
			","
"
"
				
				
					系统消息
				
			","
				2016-12-09 09:16:45
			","


				
				
					已读
				
			","

成绩提示
",,"
			
				　　【成绩提示】 你 MIMO系统与OFDM传输技术 考试成绩为 83.00
			","
"
